,Produto,Saldo Inicial,Entradas,Devoluções,Compras,Saídas,Prêmio,Quant. Vendas,Valor Vendas,Lucro Bruto,Estoque Final,Mês,Ano,Mês/Ano,insertion_id
0,FITA CETIM PROGRESSO 0- BRANCA,0.0,200.0,,,,,191.0,43.17,14.52,9.0,12,2020,12-2020,4214118965
1,BOTÃO DE CAMISA COMUM,1900.0,,,,,,104.0,31.11,15.51,1796.0,12,2020,12-2020,4392368385
2,FITA CETIM PROGRESSO 0 -209 VERMELHO,200.0,200.0,,,,,100.0,18.0,6.0,300.0,12,2020,12-2020,8767301042
3,FITA CETIM PROGRESSO 0 - 310 ROSA ,100.0,,,,,,100.0,18.0,3.0,0.0,12,2020,12-2020,5882564726
4,Alfinete de segurança - 19mm,183.0,,,,,,30.0,9.0,4.5,153.0,12,2020,12-2020,4626822109
5,ELASTICO CHATO BRANCO 20,30.0,10.0,,,,,28.0,41.78,20.78,12.0,12,2020,12-2020,3178033418
6,TECIDO SACARIA ,64.0,86.0,,,,,25.0,160.43,40.43,125.0,12,2020,12-2020,6190565925
7,ELASTICO 06MM BRANCO CHATO ROLO POR METRO,63.0,92.0,,,,,25.0,24.97,13.72,130.0,12,2020,12-2020,4203843529
8,PANO DE COPA NATAL PRESEPIO,22.0,1.0,,,,,22.0,160.16,78.76,1.0,12,2020,12-2020,3795454246
9,MASCARAS TRICOLINE,30.0,10.0,,,2.0,,21.0,115.45,31.45,17.0,12,2020,12-2020,6517299821
10,FITA CETIM PROGRESSO 5 - 0392 SALMÃO,20.0,,,,,,20.0,16.0,6.0,0.0,12,2020,12-2020,3288893691
11,FITA CETIM PROGRESSO 3 - 0201 BRANCO,20.0,,,,,,20.0,12.0,4.0,0.0,12,2020,12-2020,1294818452
12,FITA CETIM PROGRESSO 2 - 0217 VERDE BANDEIRA,50.0,,,,,,20.0,11.83,5.83,30.0,12,2020,12-2020,1810828174
13,FITA CETIM PROGRESSO 5 - 1354 VERMELHO,30.0,,,,,,20.0,17.0,7.0,10.0,12,2020,12-2020,3706909123
14,JOGO AMERICANO NATAL,22.0,1.0,,,3.0,,20.0,99.92,49.92,0.0,12,2020,12-2020,6579928270
15,PANO DE COPA NATAL PAPAI NOEL,33.0,,,,,,18.0,133.38,66.78,15.0,12,2020,12-2020,8504901260
16,Linha Rayza - Preto,17.0,,,,,,17.0,161.04,67.54,0.0,12,2020,12-2020,2510907092
17,ELASTICO CHATO BRANCO 12 METRO,27.0,,,,,,16.0,16.0,8.0,11.0,12,2020,12-2020,1675620071
18,BOTÃO CAMISETE 24,394.0,,,,,,15.0,6.0,1.5,379.0,12,2020,12-2020,9816961373
19,BASTÃO COLA QUENTE FINO ,36.0,,,,,,14.0,10.48,6.28,22.0,12,2020,12-2020,2365195924
20,AGULHA COSTURA DARNING -5,62.0,,,,8.0,,14.0,6.86,4.06,40.0,12,2020,12-2020,6908852069
21,FITA JUTA ROSA 38MM,39.0,,,,,,14.0,26.0,9.2,25.0,12,2020,12-2020,1676244783
22,Alfinete de segurança - 50MM,134.0,,,,,,13.0,7.8,4.55,121.0,12,2020,12-2020,1874880698
23,COSTURA DRIMA - Branca,50.0,,,,,,12.0,29.97,15.57,38.0,12,2020,12-2020,1382401656
24,OLHO P AMIGURUMI -16 PRETO,6.0,,,,,,12.0,12.0,6.0,-6.0,12,2020,12-2020,6323673759
25,SACO P PRESENTE METÁLICO OURO 25X37,11.0,,,,,,12.0,17.78,8.18,-1.0,12,2020,12-2020,1814866384
26,LÃ MOLLET 100G -7447 AVELÃ,9.0,2.0,,,,,11.0,110.0,40.7,0.0,12,2020,12-2020,1639545738
27,BOTÃO MADEIRA P,136.0,,,,,,11.0,5.5,2.75,125.0,12,2020,12-2020,4197819041
