,Descrição,Código,Fornecedor,Categoria,Unidade,Estoque Atual,Preço de Venda,Custo Unitário,Custo Total,Preço Total,Quant.Vendas,Descontos,Valor Pago,Total Vendas,Comissão,NCM,CEST,Mês,Ano,Mês/Ano,insertion_id
0,Linha Rayza - Verde Bandeira,98043,,Linha,,8.0,10.0,6.5,52.0,80.0,,,,,,,,04,2021,04-2021,3017470539
1,Linha Rayza - Laranja,98033,,Linha,,6.0,10.0,6.5,39.0,60.0,1.0,0.0,10.0,10.0,0.0,,,04,2021,04-2021,9773864478
2,Linha Rayza - Cinza,98012,,Linha,,5.0,10.0,6.5,32.5,50.0,,,,,,,,04,2021,04-2021,2756152461
3,Linha Rayza - Cenoura,98021,,Linha,,2.0,10.0,6.5,13.0,20.0,2.0,0.0,20.0,20.0,0.0,,,04,2021,04-2021,5515505796
4,Linha Rayza - Branco Optico,98001,,Linha,,0.0,10.0,6.5,0.0,0.0,9.0,0.0,90.0,90.0,0.0,,,04,2021,04-2021,3425861065
5,Linha Rayza - Marrom,98023,,Linha,,17.0,10.0,6.5,110.5,170.0,,,,,,,,04,2021,04-2021,4537219723
6,Linha Rayza - Preto,98010,,Linha,,83.0,10.0,6.5,539.5,830.0,2.0,0.0,20.0,20.0,0.0,,,04,2021,04-2021,1096051859
7,Linha Rayza - Bege,98002,,Linha,,22.0,10.0,6.5,143.0,220.0,,,,,,,,04,2021,04-2021,4971120344
8,Linha Rayza - Creme,98003,,Linha,,12.0,10.0,6.5,78.0,120.0,1.0,0.0,10.0,10.0,0.0,,,04,2021,04-2021,8033479040
9,Linha Rayza - Rosa,98004,,Linha,,4.0,10.0,6.5,26.0,40.0,,,,,,,,04,2021,04-2021,4837013352
10,Linha Rayza - Salmão,98005,,Linha,,8.0,10.0,6.5,52.0,80.0,,,,,,,,04,2021,04-2021,4589979987
11,Linha Rayza - Lilás,98006,,Linha,,7.0,10.0,6.5,45.5,70.0,2.0,0.0,20.0,20.0,0.0,,,04,2021,04-2021,3890491860
12,Linha Rayza - Amarelo BB,98007,,Linha,,6.0,10.0,6.5,39.0,60.0,,,,,,,,04,2021,04-2021,31577894
13,Linha Rayza - Vermelho,98008,,Linha,,15.0,10.0,6.5,97.5,150.0,6.0,0.0,60.0,60.0,0.0,,,04,2021,04-2021,9959676565
14,Linha Rayza - Verde Musgo,98009,,Linha,,6.0,10.0,6.5,39.0,60.0,1.0,0.0,10.0,10.0,0.0,,,04,2021,04-2021,7984857428
15,Linha Rayza - Azul Claro,98011,,Linha,,3.0,10.0,6.5,19.5,30.0,1.0,0.0,10.0,10.0,0.0,,,04,2021,04-2021,6922303824
16,Linha Rayza - Vinho,98013,,Linha,,6.0,10.0,6.5,39.0,60.0,,,,,,,,04,2021,04-2021,194164828
17,Linha Rayza - Esmeralda,98014,,Linha,,0.0,10.0,6.5,0.0,0.0,5.0,0.0,50.0,50.0,0.0,,,04,2021,04-2021,6922551630
18,Linha Rayza - Verde Água,98015,,Linha,,8.0,10.0,6.5,52.0,80.0,,,,,,,,04,2021,04-2021,4170097456
19,Linha Rayza - Rosa BB,98017,,Linha,,17.0,10.0,6.5,110.5,170.0,,,,,,,,04,2021,04-2021,1028100996
20,Linha Rayza - Manteiga,98020,,Linha,,17.0,10.0,6.5,110.5,170.0,,,,,,,,04,2021,04-2021,8951738296
21,Linha Rayza - Azul Turquesa,98022,,Linha,,8.0,10.0,6.5,52.0,80.0,,,,,,,,04,2021,04-2021,3451998592
22,Linha Rayza - Violeta,98024,,Linha,,1.0,10.0,6.5,6.5,10.0,,,,,,,,04,2021,04-2021,7823358864
23,Linha Rayza - Pink,98025,,Linha,,13.0,10.0,6.5,84.5,130.0,,,,,,,,04,2021,04-2021,1377195396
24,Linha Rayza - Amarelo Ouro,98026,,Linha,,0.0,10.0,6.5,0.0,0.0,2.0,0.0,20.0,20.0,0.0,,,04,2021,04-2021,6592031622
25,Linha Rayza - Azul Royal,98028,,Linha,,0.0,10.0,6.5,0.0,0.0,,,,,,,,04,2021,04-2021,6485782607
26,Linha Rayza - Ramy,98029,,Linha,,14.0,10.0,6.5,91.0,140.0,,,,,,,,04,2021,04-2021,6261503586
27,Linha Rayza - Verde Jade,98031,,Linha,,3.0,10.0,6.5,19.5,30.0,,,,,,,,04,2021,04-2021,367669273
28,Linha Rayza - Framboesa,98034,,Linha,,9.0,10.0,6.5,58.5,90.0,1.0,0.0,10.0,10.0,0.0,,,04,2021,04-2021,3827626232
29,Linha Rayza - Verde Java,98035,,Linha,,19.0,10.0,6.5,123.5,190.0,,,,,,,,04,2021,04-2021,9287582916
30,Linha Rayza - Cardeal,98037,,Linha,,9.0,10.0,6.5,58.5,90.0,,,,,,,,04,2021,04-2021,1824953182
31,Linha Rayza - Azul Bahamas,98039,,Linha,,5.0,10.0,6.5,32.5,50.0,,,,,,,,04,2021,04-2021,9821391925
32,Linha Rayza - Pistache,98042,,Linha,,14.0,10.0,6.5,91.0,140.0,,,,,,,,04,2021,04-2021,8861067147
33,Linha Rayza - Cereja,98045,,Linha,,2.0,10.0,6.5,13.0,20.0,1.0,0.0,10.0,10.0,0.0,,,04,2021,04-2021,3019128
34,Linha Rayza - Abóbora,98048,,Linha,,7.0,10.0,6.5,45.5,70.0,1.0,0.0,10.0,10.0,0.0,,,04,2021,04-2021,2015372210
35,Linha Rayza - Vermelho Passion,98056,,Linha,,0.0,9.5,5.5,0.0,0.0,,,,,,,,04,2021,04-2021,5770352791
36,Linha Rayza - Maravilha,98071,,Linha,,7.0,10.0,6.5,45.5,70.0,,,,,,,,04,2021,04-2021,4286813152
37,Linha Rayza - Roxo,98072,,Linha,,7.0,10.0,6.5,45.5,70.0,,,,,,,,04,2021,04-2021,113735072
38,Linha Rayza - Rosa Boreal,98075,,Linha,,1.0,10.0,6.5,6.5,10.0,,,,,,,,04,2021,04-2021,7194556358
39,Linha Rayza - Canário,98083,,Linha,,4.0,10.0,6.5,26.0,40.0,,,,,,,,04,2021,04-2021,4413838669
40,Linha Rayza - Ouro Velho,98084,,Linha,,-1.0,10.0,6.5,-6.5,-10.0,,,,,,,,04,2021,04-2021,8831986832
41,Linha Rayza - Verde Limão,98085,,Linha,,13.0,10.0,6.5,84.5,130.0,1.0,0.0,10.0,10.0,0.0,,,04,2021,04-2021,7453750819
42,Linha Rayza - Telha,98086,,Linha,,16.0,10.0,6.5,104.0,160.0,,,,,,,,04,2021,04-2021,9236934398
43,Linha Rayza - Verde Cítrico,98087,,Linha,,16.0,10.0,6.5,104.0,160.0,,,,,,,,04,2021,04-2021,3807296854
44,Linha Rayza - Cobalto,98089,,Linha,,11.0,10.0,6.5,71.5,110.0,,,,,,,,04,2021,04-2021,6164124157
45,Linha Rayza - Marrom Claro,98090,,Linha,,14.0,10.0,6.5,91.0,140.0,2.0,0.0,20.0,20.0,0.0,,,04,2021,04-2021,5217040273
46,Linha Rayza - z Mega Hair,98900,,Linha,,6.0,10.0,6.5,39.0,60.0,,,,,,,,04,2021,04-2021,889940398
47,Linha Rayza - Verde Malvan,98036,,Linha,,3.0,10.0,6.5,19.5,30.0,,,,,,,,04,2021,04-2021,7429680722
